"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Da non perdere a Roma, soprattutto prima di visitare i monumenti! Personale gentile e spettacolo interattivo molto ben progettato che fornisce un buon riassunto sulla storia di Roma, che si rivela molto utile quando inizi a visitare monumenti. Consiglio vivamente, che tu sia interessato o meno alla storia (lo spettacolo interattivo merita sicuramente una visita)";"58.34";"1.87";"Not to be missed in Rome, especially before visiting the monuments! kind and very well designed interactive show staff that provides a good summary of the history of Rome, which is very useful when you start to see monuments. I highly recommend, whether you're interested or not to history (the interactive show is definitely worth a visit)";2;"8.80";"3.51";"5.16";"8.87";"46.98";"8.32";"11.65";"6.71"
"Dolce video di 30 minuti con un breve riassunto della storia di Roma, con quattro esperienze multimediali separate in ologramma. Semplicemente divertente. Il posto è pulito e moderno. Bei bagni.";"41.69";"0.06";"Sweet 30-minute video with a short summary of the history of Rome, with four separate media experiences in hologram. Simply fun. The place is clean and modern. Nice bathrooms.";2;"21.69";"0.12";"48.50";"6.66";"4.76";"14.17";"3.96";"0.14"
"L'esperienza interattiva mi sta davvero aiutando a capire cosa vedrò a Roma. Lo stile è veloce e non complicato per far divertire tutti in famiglia (ragazzi adolescenti).";"54.72";"32.07";"The interactive experience really is helping me understand what I see in Rome. The style is fast and uncomplicated to entertain everyone in the family (teenage boys).";3;"31.08";"1.08";"21.16";"12.15";"8.06";"20.53";"4.89";"1.05"
"Ottima esperienza e quadro generale della storia di Roma. Ci ha dato un'immagine chiara delle rovine e del loro aspetto in quei tempi. Altamente raccomandato.";"55.22";"0.65";"Great experience and overview of the history of Rome. He gave us a clear picture of the ruins and their appearance in those times. Highly recommended.";2;"68.19";"0.10";"8.43";"4.19";"3.10";"14.52";"1.33";"0.13"
"Questo è stato davvero un buon modo per conoscere la storia di Roma. Ti dice come Roma è stata fondata dalle origini, mi è davvero piaciuto";"88.28";"3.94";"This was a really good way to learn about the history of Rome. It tells you how Rome was founded from the beginning, I really enjoyed it";4;"10.87";"0.11";"9.67";"3.00";"50.29";"15.12";"10.47";"0.48"
"I modelli e gli ologrammi sono stati fatti alla perfezione, così come il film alla fine presentava la storia di Roma. Lo consiglierei come una delle tue prime tappe a Roma, così avrai una buona base e comprensione della storia dei Fori Romani, del Vaticano e di Castel Sant'Angelo. Ottimo per tutte le età. Sono andato due volte e torneremo con la mia famiglia alla nostra prossima visita a Roma!";"6.56";"2.14";"The models and holograms were done to perfection, as well as the film finally showed the history of Rome. I would recommend it as one of your first stops in Rome, so you'll have a good foundation and understanding of the history of the Roman Forum, the Vatican and Castel Sant'Angelo. Great for all ages. I went twice and will come back with my family on our next visit to Rome!";3;"1.35";"1.54";"0.74";"1.79";"86.58";"2.38";"4.89";"0.72"
"Abbiamo adorato il cinema e anche i modelli ricostruiti erano fantastici. Lo abbiamo già consigliato ad altre famiglie che conosciamo !!";"19.98";"9.72";"We loved the cinema and even rebuilt models were fantastic. We have already recommended to other families we know !!";2;"7.65";"1.81";"7.61";"11.66";"25.64";"11.04";"33.87";"0.71"
"Finalmente la storia che non richiede la lettura di lunghi blocchi di testo in un museo (sto pensando ai bambini). L'olografia è eccellente, e combinata con modelli e un'esperienza cinematografica coinvolgente lo rendono completamente divertente e accattivante, e la storia di Roma che parte da milioni di anni fa è chiara e ben raccontata. Inoltre quasi nessuno lì! Una vera gemma nascosta.";"67.40";"5.46";"Finally the story that does not require reading long blocks of text in a museum (I am thinking of the children). Holography is excellent, and combined with models and involving film experience make it totally fun and engaging, and the history of Rome starting from millions of years ago is clear and well-told. Moreover, almost no one there! A real hidden gem.";2;"0.00";"0.11";"0.00";"0.01";"99.73";"0.01";"0.11";"0.02"
" Personale amichevole; interessante tour virtuale di Roma che offre una prospettiva diversa. Piccolo ingresso quindi è necessario prestare attenzione a quello che stai cercando";"51.72";"4.09";"Friendly staff; Interestingly Rome virtual tour that offers a different perspective. Small entrance so you need to pay attention to what you are looking for";1;"0.01";"0.02";"0.01";"0.02";"99.49";"0.09";"0.16";"0.18"
"Questa è stata la nostra prima tappa della nostra prima visita a Roma. Volevo avere un backgound della città e dei suoi monumenti e questa è stata la migliore introduzione. Sono andato con la mia famiglia di cinque persone (me stesso, mio marito e tre figli <17enni e 11 anni gemelli>) e tutti abbiamo apprezzato molto la visita, Ci vuole circa un'ora per visitarla ed è un modo altamente moderno per capire la storia della città fino ad oggi. Durante la visita di Roma c'erano molti punti di interesse che abbiamo potuto capire solo in base a ciò che abbiamo visto e appreso durante la Welcome to Rome Experience. Inoltre, i biglietti d'ingresso erano molto convenienti: meno di 50 euro per la nostra famiglia di cinque persone. Consiglio questa sosta a chiunque visiti Roma per la prima volta!";"57.55";"14.50";"This was our first stop on our first visit to Rome. I wanted to have a backgound of the city and its monuments and this was the best introduction. I went with my family of five (myself, my husband and three children <17 year olds and 11 year old twins>) and we all enjoyed the visit, It takes about an hour to visit and is a highly modern way to understand the city's history to date. During the visit of Roma there were many points of interest that we could understand only based on what we saw and learned during the Welcome to Rome Experience. In addition, the tickets were cheap: less than 50 € for our family of five. Council this stop to anyone visiting Rome for the first time!";2;"4.33";"4.23";"0.98";"3.58";"80.09";"2.32";"3.48";"1.00"
"Dopo aver visto tutti i luoghi d'interesse di Roma ci siamo resi conto di non conoscere la storia completa o il significato dietro di loro. Questo posto è stato fantastico per passare un'ora e conoscere ciò che stavamo guardando. Consiglio vivamente.";"81.22";"3.07";"After seeing all the sights of Rome, we realized they did not know the full story or meaning behind them. This place was great to spend an hour and know what we were watching. I highly recommend.";2;"7.47";"4.56";"4.09";"9.19";"52.74";"7.72";"12.75";"1.48"
"Siamo stati qui in un pomeriggio piovoso e siamo rimasti piacevolmente sorpresi dalla presentazione multimediale di alta qualità! Ciò farebbe un'ottima prima tappa a Roma per orientarti e una rapida panoramica della storia che ti circonda. Soprattutto se non hai intenzione di fare tour completi in alcune delle attrazioni comuni, questo ti darà ciò di cui hai bisogno per apprezzare ciò che vedi mentre passeggi per Roma.";"25.68";"19.53";"We were here on a rainy afternoon and were pleasantly surprised by the high quality multimedia presentation! This would make an excellent first stop in Rome to find your way and a quick overview of the history that surrounds you. Especially if you're not going to make complete tour some of the common attractions, this will give you what you need to appreciate what you see as you stroll through Rome.";2;"4.89";"1.36";"3.07";"9.77";"46.84";"10.64";"22.95";"0.48"
"Per la prima volta ho un'esperienza straordinaria al Welcome to Rome. Il posto è così fantastico e delizioso.";"98.39";"1.24";"For the first time we have an extraordinary experience to Welcome to Rome. The place is so fantastic and delicious.";4;"0.06";"0.13";"0.06";"0.10";"98.42";"0.26";"0.50";"0.46"
"Ho visitato Roma molte volte, ma questa attrazione mi ha dato così tante informazioni sulla storia e sugli inizi di Roma che non avevo mai conosciuto prima. Un ""must"" per ogni fascia d'età, non importa quante volte sei stato in questa fantastica città prima. È solo un piccolo ingresso quindi fai attenzione a non perderlo!";"6.81";"34.86";"I have visited Rome many times, but this attraction has given me so much information on the history and beginnings of Rome that I had never known before. A ""must"" for all ages, no matter how many times you've been in this fantastic city before. It's just a small entrance so be careful not to lose it!";1;"9.54";"0.68";"3.95";"4.23";"57.40";"18.61";"3.30";"2.29"
"Abbiamo appena visitato Welcome to Rome. È stata davvero una bellissima esperienza. Abbiamo imparato molto sulla storia di Roma e visto immagini olografiche di molti antichi edifici romani come sono ora e come erano in origine. Vorrei solo che ci saremmo andati prima.";"3.73";"4.98";"We just visited Welcome to Rome. It was truly a wonderful experience. We learned a lot about the history of Rome and saw holographic images of many ancient Roman buildings as they are now and as they were originally. I just wish we would have gone before.";2;"33.71";"0.39";"16.31";"5.98";"12.42";"26.69";"3.28";"1.20"
"Anche se questa attività può essere secondaria se trascorri solo 48 o 72 ore a Roma, ti consente di sostituire i principali monumenti di Roma guardandoli dai loro aspetti attuali ai loro aspetti dell'antica Roma. Le spiegazioni sono chiare, la parte cinematografica è piacevole in un percorso in cui si cammina molto??";"0.08";"0.05";"Although this activity may be secondary if you spend only 48 or 72 hours in Rome, allowing you to change the main monuments of Rome watching them from their current aspects to their aspects of ancient Rome. The explanations are clear, the part of the film is enjoyable in a path where you walk a lot ??";2;"18.40";"2.83";"14.37";"13.45";"17.45";"15.67";"16.01";"1.82"
"Molto interessante lo consigliamo prima di qualsiasi altra visita a Roma. Molto bello con persone molto competenti.";"99.34";"0.83";"Very interesting recommend before any other visit to Rome. Very nice with very competent people.";3;"9.97";"4.73";"5.09";"21.38";"31.03";"11.85";"14.88";"1.06"
"Ottima esperienza Questa visita ci ha permesso di conoscere meglio la città di Roma e i suoi monumenti. Siamo riusciti a ricordare altri monumenti da vedere. Consigliamo questo museo con piacere";"97.00";"0.58";"Good experience This visit has enabled us to better know the city of Rome and its monuments. We were able to remember other sights to see. We recommend this museum with pleasure";2;"0.06";"0.39";"0.05";"0.16";"97.22";"0.17";"1.86";"0.09"
"Molto contento di questa presentazione che dura 40 minuti. Due schermi: uno verticale e l'altro orizzontale che ci consentono, tra le altre cose, di vedere interagendo su una mappa i luoghi commentati. Molto utile per capire ciò che avevamo già visitato e ci consente di continuare le nostre visite in modo intelligente! Naturalmente, questo rimane molto breve e quindi accessibile a tutte le età. Mi raccomando!";"98.14";"4.07";"Very happy with this presentation that lasts 40 minutes. Two screens, one vertical and the other horizontal and allow us, among other things, to see interacting on a map commented places. Very useful to understand what we had already visited and allows us to continue our visits intelligently! Of course, this is very short and therefore accessible to all ages. Take care!";2;"2.17";"1.38";"1.56";"2.18";"81.62";"3.39";"6.55";"1.15"
